Time outerCorrector residual
0.0154 1 0.530085
0.0154 2 0.529571
0.0154 3 0.10158
0.0154 4 0.156556
0.0154 5 0.0202329
0.0154 6 0.00462382
0.0154 7 0.00142583
0.0154 8 0.000266096
0.0154 9 9.84177e-05
0.0156 1 1
0.0156 2 0.999035
0.0156 3 0.141932
0.0156 4 0.208971
0.0156 5 0.0393906
0.0156 6 0.0073011
0.0156 7 0.00409955
0.0156 8 0.00279261
0.0156 9 0.00157929
0.0156 10 0.00189093
0.0156 11 0.000624323
0.0156 12 0.000312437
0.0156 13 4.98291e-05
0.0158 1 1
0.0158 2 0.999033
0.0158 3 0.125776
0.0158 4 0.17209
0.0158 5 0.0418507
0.0158 6 0.00686806
0.0158 7 0.0041466
0.0158 8 0.00309704
0.0158 9 0.00171664
0.0158 10 0.00164026
0.0158 11 0.000774256
0.0158 12 0.0012263
0.0158 13 0.00047367
0.0158 14 0.000237477
0.0158 15 1.57932e-05
0.016 1 0.671451
0.016 2 0.670797
0.016 3 0.085236
0.016 4 0.12209
0.016 5 0.0269905
0.016 6 0.00602521
0.016 7 0.00213384
0.016 8 0.000138238
0.016 9 4.86166e-05
0.0162 1 0.377428
0.0162 2 0.377072
0.0162 3 0.0564368
0.0162 4 0.0920947
0.0162 5 0.0124247
0.0162 6 0.0046381
0.0162 7 0.00110528
0.0162 8 0.00031176
0.0162 9 6.72576e-05
0.0164 1 0.219588
0.0164 2 0.21939
0.0164 3 0.0488522
0.0164 4 0.0854153
0.0164 5 0.00640231
0.0164 6 0.00354854
0.0164 7 0.00061386
0.0164 8 0.000227424
0.0164 9 0.000114574
0.0164 10 9.1278e-05
0.0166 1 0.105957
0.0166 2 0.105852
0.0166 3 0.0517786
0.0166 4 0.0721726
0.0166 5 0.00232626
0.0166 6 0.00132238
0.0166 7 0.000659238
0.0166 8 0.000198364
0.0166 9 4.12058e-05
0.0168 1 0.0283592
0.0168 2 0.0283323
0.0168 3 0.0618555
0.0168 4 0.00324229
0.0168 5 0.00195796
0.0168 6 0.000546357
0.0168 7 0.000143901
0.0168 8 0.000220879
0.0168 9 0.00013799
0.0168 10 5.04934e-07
0.017 1 0.123283
0.017 2 0.123164
0.017 3 0.0841303
0.017 4 0.08652
0.017 5 0.00184796
0.017 6 0.00114352
0.017 7 0.000482087
0.017 8 0.000134939
0.017 9 8.21249e-05
0.0172 1 0.281187
0.0172 2 0.281049
0.0172 3 0.122656
0.0172 4 0.173667
0.0172 5 0.00355725
0.0172 6 0.00156892
0.0172 7 0.00086878
0.0172 8 0.000199417
0.0172 9 1.80129e-06
0.0174 1 0.565326
0.0174 2 0.56487
0.0174 3 0.198549
0.0174 4 0.289706
0.0174 5 0.00829812
0.0174 6 0.00239775
0.0174 7 0.00147727
0.0174 8 0.000336409
0.0174 9 1.8665e-05
0.0176 1 1
0.0176 2 0.999095
0.0176 3 0.308322
0.0176 4 0.46394
0.0176 5 0.016597
0.0176 6 0.00432737
0.0176 7 0.00289231
0.0176 8 0.00179809
0.0176 9 0.000832598
0.0176 10 0.000337846
0.0176 11 0.000145964
0.0176 12 3.8711e-05
0.0178 1 1
0.0178 2 0.999074
0.0178 3 0.273702
0.0178 4 0.413196
0.0178 5 0.0160176
0.0178 6 0.00370226
0.0178 7 0.00233379
0.0178 8 0.000586501
0.0178 9 0.000894283
0.0178 10 0.000559924
0.0178 11 0.000146997
0.0178 12 2.09419e-05
0.018 1 0.56302
0.018 2 0.562488
0.018 3 0.138971
0.018 4 0.233362
0.018 5 0.00884323
0.018 6 0.00182321
0.018 7 0.0010369
0.018 8 0.000369537
0.018 9 5.07728e-05
0.0182 1 0.334086
0.0182 2 0.333818
0.0182 3 0.0752961
0.0182 4 0.132357
0.0182 5 0.00471054
0.0182 6 0.00106364
0.0182 7 0.00046807
0.0182 8 0.000244052
0.0182 9 2.55687e-05
0.0184 1 0.193386
0.0184 2 0.193218
0.0184 3 0.0402214
0.0184 4 0.0723265
0.0184 5 0.00294905
0.0184 6 0.00110982
0.0184 7 0.000482559
0.0184 8 0.000235148
0.0184 9 4.25555e-05
0.0186 1 0.0847512
0.0186 2 0.0846701
0.0186 3 0.0221683
0.0186 4 0.0364764
0.0186 5 0.0027911
0.0186 6 0.00128901
0.0186 7 0.000532098
0.0186 8 0.000212554
0.0186 9 5.51722e-05
0.0188 1 0.0265916
0.0188 2 0.0265692
0.0188 3 0.0157212
0.0188 4 0.00719937
0.0188 5 0.0020839
0.0188 6 0.000806858
0.0188 7 0.000510185
0.0188 8 7.57617e-05
0.019 1 0.138988
0.019 2 0.138862
0.019 3 0.0263039
0.019 4 0.026631
0.019 5 0.00762379
0.019 6 0.00074784
0.019 7 0.000362542
0.019 8 0.000191779
0.019 9 6.87503e-05
0.0192 1 0.302439
0.0192 2 0.302179
0.0192 3 0.0456671
0.0192 4 0.0579622
0.0192 5 0.0135776
0.0192 6 0.00100524
0.0192 7 0.000670986
0.0192 8 0.000140343
0.0192 9 8.77313e-06
0.0194 1 0.589334
0.0194 2 0.588839
0.0194 3 0.0754546
0.0194 4 0.101927
0.0194 5 0.02191
0.0194 6 0.00182685
0.0194 7 0.00123141
0.0194 8 0.000714594
0.0194 9 0.000230714
0.0194 10 0.000154059
0.0194 11 2.62973e-05
0.0196 1 1
0.0196 2 0.999097
0.0196 3 0.110012
0.0196 4 0.147661
0.0196 5 0.0334699
0.0196 6 0.00304464
0.0196 7 0.00199837
0.0196 8 0.000267717
0.0196 9 0.00106938
0.0196 10 0.000879708
0.0196 11 0.000257093
0.0196 12 4.24895e-05
0.0198 1 0.861237
0.0198 2 0.860432
0.0198 3 0.076172
0.0198 4 0.0918842
0.0198 5 0.0266568
0.0198 6 0.000854244
0.0198 7 0.000552505
0.0198 8 0.000676913
0.0198 9 0.000208135
0.0198 10 0.000121132
0.0198 11 7.55985e-05
0.02 1 0.498438
0.02 2 0.49797
0.02 3 0.0367624
0.02 4 0.0328362
0.02 5 0.0143413
0.02 6 0.001469
0.02 7 0.000330807
0.02 8 8.53763e-05
0.0202 1 0.301297
0.0202 2 0.301045
0.0202 3 0.0209531
0.0202 4 0.0142978
0.0202 5 0.0059619
0.0202 6 0.000753778
0.0202 7 0.000187697
0.0202 8 0.000114349
0.0202 9 4.28063e-05
0.0204 1 0.171997
0.0204 2 0.171915
0.0204 3 0.0169903
0.0204 4 0.0181618
0.0204 5 0.00541858
0.0204 6 0.000411862
0.0204 7 0.000225029
0.0204 8 9.8867e-05
0.0206 1 0.0684376
0.0206 2 0.0684131
0.0206 3 0.0193301
0.0206 4 0.0238325
0.0206 5 0.00429406
0.0206 6 0.00051059
0.0206 7 0.000271848
0.0206 8 0.0001073
0.0206 9 9.57184e-06
0.0208 1 0.0423347
0.0208 2 0.0423024
0.0208 3 0.0249565
0.0208 4 0.0204068
0.0208 5 0.00303896
0.0208 6 0.000803222
0.0208 7 0.00051851
0.0208 8 0.000178164
0.0208 9 2.80356e-06
0.021 1 0.159299
0.021 2 0.159144
0.021 3 0.0284423
0.021 4 0.0396441
0.021 5 0.0069455
0.021 6 0.000637824
0.021 7 0.000352379
0.021 8 0.000172922
0.021 9 3.59911e-05
0.0212 1 0.333194
0.0212 2 0.332891
0.0212 3 0.0370091
0.0212 4 0.046165
0.0212 5 0.0110381
0.0212 6 0.000465151
0.0212 7 0.000309306
0.0212 8 0.000159743
0.0212 9 4.36911e-05
0.0214 1 0.649573
0.0214 2 0.648944
0.0214 3 0.0582304
0.0214 4 0.0567381
0.0214 5 0.0140892
0.0214 6 0.00241762
0.0214 7 0.000622837
0.0214 8 0.000368953
0.0214 9 0.000110345
0.0214 10 6.1756e-06
0.0216 1 1
0.0216 2 0.99902
0.0216 3 0.0901128
0.0216 4 0.0859313
0.0216 5 0.015751
0.0216 6 0.00144401
0.0216 7 0.000330504
0.0216 8 0.00031968
0.0216 9 0.000240465
0.0216 10 8.5605e-05
0.0218 1 0.813722
0.0218 2 0.812929
0.0218 3 0.08386
0.0218 4 0.099568
0.0218 5 0.0211558
0.0218 6 0.00247447
